PART,NB. OF ELEMENTS,Percentage Increased
89165385,1,0.0
89165405,3,0.0
89165415,3,0.0
89165435,1,0.0
89165445,1,0.0
89165465,9,0.0
89165475,9,0.0
89165495,1,0.0
89165505,1,0.0
89165555,2,0.0
89165565,2,0.0
89165585,2,0.0
89165595,2,0.0
89165615,3,0.0
89165625,3,0.0
89165645,1,0.0
89165655,1,0.0
89165675,1,0.0
89165685,1,0.0
89165735,1,0.0
89165745,1,0.0
89165765,1,0.0
89165775,1,0.0
89165795,2,0.0
89165805,2,0.0
89165855,1,0.0
89165865,1,0.0
89165885,3,0.0
89165895,3,0.0
89166040,11,0.0
89166120,12,0.0
89166160,9,0.0
89166440,10,0.0
89166470,10,0.0
89166500,4,0.0
89166530,4,0.0
89166560,3,0.0
89166590,3,0.0
89166620,7,0.0
89166640,6,0.0
89166660,1,0.0
89166680,3,0.0
89166700,2,0.0
89166720,9,0.0
89166740,2,0.0
89166760,2,0.0
89166780,14,0.0
89166800,2,0.0
89166820,16,0.0
89166840,4,0.0
89166860,4,0.0
89166880,3,0.0
89166900,3,0.0
89166920,11,0.0
89166940,2,0.0
89166960,4,0.0
89166980,6,0.0
89167000,1,0.0
89167020,4,0.0
89167040,2,0.0
89167060,5,0.0
89167080,6,0.0
89167100,2,0.0
89167120,3,0.0
89167140,2,0.0
89167160,2,0.0
89167180,1,0.0
89167200,1,0.0
89167220,1,0.0
89167240,6,0.0
89167272,1,0.0
89167292,1,0.0
89167312,1,0.0
89167332,2,0.0
89167365,1,0.0
89167375,1,0.0
89167395,2,0.0
89167405,2,0.0
89167425,4,0.0
89167435,4,0.0
89167455,3,0.0
89167465,3,0.0
89167485,1,0.0
89167495,1,0.0
89167515,4,0.0
89167525,4,0.0
89167545,1,0.0
89167555,1,0.0
89167575,1,0.0
89167585,1,0.0
89167605,1,0.0
89167615,1,0.0
89167635,2,0.0
89167645,2,0.0
89167665,7,0.0
89167675,7,0.0
89167695,3,0.0
89167705,3,0.0
89167725,3,0.0
89167735,3,0.0
89167755,3,0.0
89167765,3,0.0
89167785,2,0.0
89167795,2,0.0
89167815,1,0.0
89167825,1,0.0
89167845,1,0.0
89167855,1,0.0
89167880,7,0.0
89167900,6,0.0
89167920,1,0.0
89167940,3,0.0
89167960,2,0.0
89167980,9,0.0
89168000,2,0.0
89168020,2,0.0
89168040,14,0.0
89168060,2,0.0
89168080,16,0.0
89168100,4,0.0
89168120,4,0.0
89168140,3,0.0
89168160,3,0.0
89168180,11,0.0
89168200,2,0.0
89168220,4,0.0
89168240,6,0.0
89168260,1,0.0
89168280,5,0.0
89168300,6,0.0
89168320,2,0.0
89168340,3,0.0
89168360,2,0.0
89168380,2,0.0
89168400,1,0.0
89168420,1,0.0
89168440,1,0.0
89168472,1,0.0
89168492,1,0.0
89168512,1,0.0
89168532,2,0.0
89168565,1,0.0
89168575,1,0.0
89168595,2,0.0
89168605,2,0.0
89168625,4,0.0
89168635,4,0.0
89168655,3,0.0
89168665,3,0.0
89168685,1,0.0
89168695,1,0.0
89168715,4,0.0
89168725,4,0.0
89168745,1,0.0
89168755,1,0.0
89168775,1,0.0
89168785,1,0.0
89168805,1,0.0
89168815,1,0.0
89168835,2,0.0
89168845,2,0.0
89168865,7,0.0
89168875,7,0.0
89168895,3,0.0
89168905,3,0.0
89168925,3,0.0
89168935,3,0.0
89168955,2,0.0
89168965,2,0.0
89168985,1,0.0
89168995,1,0.0
89169015,1,0.0
89169025,1,0.0
89169050,4,0.0
89169070,2,0.0
89169100,4,0.0
89169120,2,0.0
89169150,10,0.0
89169170,19,0.0
89169190,20,0.0
89169280,5,0.0
89169300,2,0.0
89169320,1,0.0
89169340,9,0.0
89169360,4,0.0
89169380,5,0.0
89169400,9,0.0
89169435,1,0.0
89169445,1,0.0
89169465,1,0.0
89169475,1,0.0
89169500,2,0.0
89169520,1,0.0
89169540,4,0.0
89169575,1,0.0
89169585,1,0.0
89169605,1,0.0
89169615,1,0.0
89170350,4,0.0
89170370,4,0.0
89170400,3,0.0
89170420,8,0.0
89170440,2,0.0
89170460,3,0.0
89170480,1,0.0
89170500,1,0.0
89170520,1,0.0
89170540,11,0.0
89170560,2,0.0
89170580,4,0.0
89170600,3,0.0
89170620,1,0.0
89170640,2,0.0
89170660,3,0.0
89170680,1,0.0
89170700,1,0.0
89170720,6,0.0
89170740,2,0.0
89170760,16,0.0
89170780,1,0.0
89170815,1,0.0
89170825,1,0.0
89170845,1,0.0
89170855,1,0.0
89170875,1,0.0
89170885,1,0.0
89170905,1,0.0
89170915,1,0.0
89170935,1,0.0
89170945,1,0.0
89170965,1,0.0
89170975,1,0.0
89170995,1,0.0
89171005,1,0.0
89171070,17,0.0
89171110,25,0.0
89171130,2,0.0
89171190,1,0.0
89171210,2,0.0
89171230,1,0.0
89171250,2,0.0
89171270,3,0.0
89171290,6,0.0
89171350,17,0.0
89171390,25,0.0
89171410,2,0.0
89171470,1,0.0
89171490,2,0.0
89171510,1,0.0
89171530,3,0.0
89171550,3,0.0
89171570,6,0.0
89171785,7,0.0
89171795,7,0.0
