PART,MTYP,NB. OF ELEMENTS,INPUT     ELEM. MASS,ADDED INIT MASS SCALE,ADDED DYN. MASS SCALE,ADDED NON-STRU. MASS,ADDED   MASSTRIM,ADDED NODAL MASS,FINAL     ELEM. MASS,FINAL NODAL MASS,Percentage Increased
85100,105,358,0.1141,1.999e-05,0.0,0.0,0.0,0.0,0.1141,0.115,0.0
86000,105,3017,1.399,1.295e-06,0.0,0.0,0.0,0.0,1.399,1.399,0.0
86100,105,752,0.3687,0.0,0.0,0.0,0.0,0.0,0.3687,0.3687,0.0
86500,105,2698,0.9881,0.0,0.0,0.0,0.0,0.0,0.9881,0.9896,0.0
87000,105,1207,0.5762,3.937e-06,0.0,0.0,0.0,0.0,0.5762,0.5776,0.0
87010,100,36,0.03098,0.0,0.0,0.0,0.0,0.0,0.03098,0.0292,0.0
87020,100,36,0.02106,0.0,0.0,0.0,0.0,0.0,0.02106,0.02141,0.0
87200,105,275,0.1089,0.0,0.0,0.0,0.0,0.0,0.1089,0.1089,0.0
87300,105,2935,1.109,5.617e-06,0.0,0.0,0.0,0.0,1.109,1.109,0.0
88350,105,1797,0.555,1.107e-05,0.0,0.0,0.0,0.0,0.555,0.5557,0.0
88600,105,2969,1.076,0.0,0.0,0.0,0.0,0.0,1.076,1.076,0.0
89000,105,1066,0.231,2.069e-06,0.0,0.0,0.0,0.0,0.231,0.231,0.0
150000,105,10950,1.405,4.534e-05,0.02584,0.0,0.0,0.0,1.431,1.478,1.850533807829183
151000,105,5788,1.963,0.0,0.0003161,0.0,0.0,0.0,1.963,2.029,0.0
151001,105,90,0.0304,0.0,1.1e-07,0.0,0.0,0.0,0.0304,0.03227,0.0
151400,105,1865,0.7029,3.854e-05,0.000134,0.0,0.0,0.0,0.7031,0.7381,0.028453549580307
151600,105,316,0.2785,0.0,0.0,0.0,0.0,0.0,0.2785,0.2785,0.0
152001,105,8743,2.948,3.568e-06,5.108e-05,0.0,0.0,0.0,2.948,2.98,0.0
152100,105,852,0.3868,0.0,0.0,0.0,0.0,0.0,0.3868,0.3868,0.0
153010,105,3233,0.5928,1.926e-05,0.0,0.0,0.0,0.0,0.5928,0.5928,0.0
154000,105,2904,0.6588,5.431e-06,8.224e-05,0.0,0.0,0.0,0.6588,0.6604,0.0
155050,105,2455,0.7614,2.405e-05,0.0,0.0,0.0,0.0,0.7614,0.7614,0.0
156050,105,1617,0.2907,3.543e-05,0.0,0.0,0.0,0.0,0.2907,0.2907,0.0
156100,105,1069,0.2939,5.13e-06,0.0,0.0,0.0,0.0,0.2939,0.2939,0.0
156210,105,44,0.009568,0.0,0.0,0.0,0.0,0.0,0.009568,0.009568,0.0
156350,105,621,0.1529,0.0,9.128e-06,0.0,0.0,0.0,0.1529,0.1547,0.0
156450,105,241,0.06728,0.0,0.0,0.0,0.0,0.0,0.06728,0.06728,0.0
157000,105,1577,0.294,6.199e-05,0.0,0.0,0.0,0.0,0.294,0.294,0.0
157200,105,1174,0.3156,4.119e-06,0.0,0.0,0.0,0.0,0.3156,0.3156,0.0
157900,105,749,0.1914,8.462e-06,0.0005074,0.0,0.0,0.0,0.1919,0.2024,0.2612330198537098
158000,105,1512,0.2046,7.6e-06,5.555e-05,0.0,0.0,0.0,0.2046,0.2046,0.0
160000,105,13371,4.549,0.0,0.002636,0.0,0.0,0.0,4.552,4.646,0.0659485601230869
160001,105,165,0.05767,0.0,0.0001413,0.0,0.0,0.0,0.05782,0.06071,0.2601005722212663
160100,105,5099,2.37,2.333e-06,0.0,0.0,0.0,0.0,2.37,2.389,0.0
160150,105,51,0.02097,0.0,0.0,0.0,0.0,0.0,0.02097,0.02097,0.0
160160,105,84,0.0689,0.0,0.0,0.0,0.0,0.0,0.0689,0.0689,0.0
160200,105,4691,1.637,0.0,9.774e-06,0.0,0.0,0.0,1.637,1.646,0.0
160210,105,1153,0.3147,0.0,0.0,0.0,0.0,0.0,0.3147,0.3147,0.0
160300,105,2025,0.7066,1.478e-05,0.0,0.0,0.0,0.0,0.7066,0.7092,0.0
160400,105,1698,0.5934,0.0,1.324e-05,0.0,0.0,0.0,0.5934,0.5967,0.0
160450,105,517,0.1762,8.624e-07,0.0,0.0,0.0,0.0,0.1762,0.1762,0.0
160600,105,2619,0.8681,9.238e-06,0.0001897,0.0,0.0,0.0,0.8683,0.8861,0.0230388204123923
160751,105,2444,0.6328,0.0,0.0,0.0,0.0,0.0,0.6328,0.6356,0.0
160900,105,49,0.02521,0.0,0.0,0.0,0.0,0.0,0.02521,0.02565,0.0
160905,100,42,0.0342,0.0,0.0,0.0,0.0,0.0,0.0342,0.03292,0.0
160910,105,54,0.03262,0.0,0.0,0.0,0.0,0.0,0.03262,0.03379,0.0
160915,100,28,0.009572,0.0,0.0,0.0,0.0,0.0,0.009572,0.009843,0.0
160930,100,28,0.01673,0.0,0.0,0.0,0.0,0.0,0.01673,0.01597,0.0
160940,105,34,0.02533,0.0,0.0,0.0,0.0,0.0,0.02533,0.0251,0.0
160950,100,28,0.02023,0.0,0.0,0.0,0.0,0.0,0.02023,0.01997,0.0
160960,100,31,0.02063,0.0,0.0,0.0,0.0,0.0,0.02063,0.02128,0.0
162000,105,1100,0.5916,7.616e-05,0.0,0.0,0.0,0.0,0.5916,0.5976,0.0
162100,105,1063,0.5931,9.786e-05,0.0,0.0,0.0,0.0,0.5932,0.5989,0.0168605631428071
162200,105,2963,1.393,0.0,3.782e-05,0.0,0.0,0.0,1.393,1.411,0.0
163000,105,653,0.2915,2.572e-05,0.0,0.0,0.0,0.0,0.2915,0.2949,0.0
163100,105,1194,0.5115,0.0,1.887e-05,0.0,0.0,0.0,0.5115,0.5171,0.0
163200,105,2104,0.7055,2.056e-05,0.0008774,0.0,0.0,0.0,0.7064,0.7192,0.1275690999291299
164100,105,1884,0.699,8.273e-05,0.0,0.0,0.0,0.0,0.6991,0.6991,0.0143061516452217
164200,105,865,0.298,3.506e-05,0.0,0.0,0.0,0.0,0.298,0.298,0.0
166000,105,795,0.3517,0.0,1.165e-05,0.0,0.0,0.0,0.3517,0.3611,0.0
167000,105,3780,1.272,0.0,0.0,0.0,0.0,0.0,1.272,1.285,0.0
167050,105,1115,0.4094,0.0,0.0,0.0,0.0,0.0,0.4094,0.4094,0.0
167100,105,1092,0.4281,0.0,0.0,0.0,0.0,0.0,0.4281,0.4292,0.0
170000,105,16043,2.377,0.0005651,0.01796,0.0,0.0,0.0,2.395,2.437,0.7572570466975279
170100,105,1501,0.2275,0.0,0.00137,0.0,0.0,0.0,0.2288,0.2323,0.5714285714285695
